Country,Falecidos,Contaxios,Poboacion
Belgium,9150,55983,11455519
Brazil,18859,291579,209469333
China (Hubei),4512,68135,58500000
France,28084,179069,67012883
Germany,8144,178473,83019213
India,3434,112028,1352617328
Iran,7183,126949,82360000
Italy,32330,227364,60359546
Mexico,6090,56594,124738000
Peru,3024,104020,31989256
Russia,2972,308705,146800000
Saudi Arabia,339,62545,33699947
Spain,27888,232555,47100396
Turkey,4222,152587,82003882
United Kingdom,35704,248293,66647112
US,93439,1551853,327352000
